Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.763.750_gynecology.csv H02.403.340_general_practice.csv -72.93781390858042 -73.50168027537296 -73.40174787486306 -66.91300532660847 -58.440162801432734
H02.403.763.750_gynecology.csv H02.403.429.515_medical_oncology.csv -71.11551532634097 -67.87030721667924 -64.81838637404528 -57.65735288988636 -49.69775010955792
H02.403.763.750_gynecology.csv H02.403.330_forensic_medicine.csv -67.87197739883919 -65.23364722931383 -62.06822793953861 -54.44443554267586 -46.900340880131004
H02.403.763.750_gynecology.csv H02.403.810.468_ophthalmology.csv -76.37725985543848 -72.4797504395764 -69.64337286722315 -62.22107635534801 -53.903599641026176
H02.403.763.750_gynecology.csv H02.403.810.788_surgery_plastic.csv -88.17915711798084 -87.01375293172663 -85.14352004795232 -78.05156740900715 -69.89232615889733
H02.403.763.750_gynecology.csv H02.403.429.480_infectious_disease_medicine.csv -85.22679424694027 -83.12831984023005 -82.15899468740804 -75.23472810385718 -66.95471819929104
H02.403.763.750_gynecology.csv H02.403.600_neurology.csv -76.46391873726243 -72.50784604327104 -69.73555815059407 -62.34131988069274 -54.06566251956287
H02.403.763.750_gynecology.csv H02.403.763_reproductive_medicine.csv -86.91341688592868 -87.25473576783453 -86.46134474242258 -80.43332937502375 -72.61790798906513
H02.403.763.750_gynecology.csv H02.403.690_psychiatry.csv -76.20573150486975 -74.68441853833701 -73.73083561415515 -67.26598729825415 -59.08939677899039
H02.403.763.750_gynecology.csv H02.403.429.730_rheumatology.csv -76.79718444463077 -73.6672010895545 -70.97447281511731 -63.55738398800159 -55.226596815714665
H02.403.763.750_gynecology.csv H02.403.740_radiology.csv -75.56307476945628 -72.16986936023564 -69.11565130467393 -61.70710921244004 -53.57709618522062
H02.403.763.750_gynecology.csv H02.403.044.500_immunochemistry.csv -79.20690830995476 -76.43657832869062 -74.39701210057196 -67.50535722595882 -59.39016114219254
H02.403.763.750_gynecology.csv H02.403.429.580_nephrology.csv -75.98802726603721 -73.17603212944297 -70.43440314902797 -63.13266623283618 -54.85348408462695
H02.403.763.750_gynecology.csv H02.403.670.500_perinatology.csv -71.01445774507356 -68.66962362449574 -67.34832332607544 -60.634738929927856 -52.61697420906491
H02.403.763.750_gynecology.csv H02.403.830_sports_medicine.csv -92.56035265354008 -90.53343730236092 -89.04996058233378 -81.71056708933736 -73.19586507200994
H02.403.763.750_gynecology.csv H02.403.355_geriatrics.csv -72.91730140002731 -69.09662621063654 -65.71305120834651 -58.25431843558638 -50.04090034152021
H02.403.763.750_gynecology.csv H02.403.810.494_orthopedics.csv -89.50282481294929 -87.80124510009976 -86.18858065575773 -79.32171650997107 -71.37531964361645
H02.403.763.750_gynecology.csv H02.403.810.850_traumatology.csv -77.80987140262539 -74.23984846589593 -70.81946178485302 -63.21736521804969 -54.91728011970664
H02.403.763.750_gynecology.csv H02.403.670.400_neonatology.csv -72.95690706026478 -69.46324239079486 -67.21656981702107 -60.168703052410606 -52.119182366350145
H02.403.763.750_gynecology.csv H02.403.350_genetics_medical.csv -76.2198159668644 -73.42655638522456 -71.26696839094738 -64.1214485422079 -56.02070692128947
H02.403.763.750_gynecology.csv H02.403.810.425_neurosurgery.csv -84.02278661598123 -80.04904738352563 -78.27234258118065 -71.15851926897982 -63.029763468249904
H02.403.763.750_gynecology.csv H02.403.810.526_otolaryngology.csv -70.25319241285852 -65.69175991921779 -62.37175311976944 -55.28632663095356 -47.40345955665619
H02.403.763.750_gynecology.csv H02.403.720.500_epidemiology.csv -77.22821155317746 -75.39155631921636 -74.25541982689583 -67.51403909431012 -59.42244530454451
H02.403.763.750_gynecology.csv H02.403.650_pathology.csv -70.9481217004645 -66.9723738067307 -63.79367014462097 -56.67157726359545 -48.78868221382823
H02.403.763.750_gynecology.csv H02.403.066_anesthesiology.csv -90.44963401659614 -88.88161225771103 -87.27230255652006 -79.8402728173201 -71.21789366253203
H02.403.763.750_gynecology.csv H02.403.429.405_gastroenterology.csv -72.0727827704206 -68.72906054807319 -65.35733539614758 -58.006906778146266 -49.85966727683846
H02.403.763.750_gynecology.csv H02.403.763.750_gynecology.csv -67.97967298896447 -66.26767107576882 -65.06969574815318 -58.74687730509068 -51.024835576177715
H02.403.763.750_gynecology.csv H02.403.225_dermatology.csv -69.00422191145496 -64.40969852781151 -60.74536593263922 -53.36024022996991 -45.45886786432362
H02.403.763.750_gynecology.csv H02.403.720.750_preventive_medicine.csv -78.11175681858073 -75.34400533386751 -73.0435051619272 -65.94523368675661 -57.816279188457344
