Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.763_reproductive_medicine.csv H02.403.340_general_practice.csv -71.74853490175946 -70.7981311824363 -67.79058581821924 -60.69746524563699 -52.59208230728643
H02.403.763_reproductive_medicine.csv H02.403.429.515_medical_oncology.csv -69.98155846262132 -65.05416182626584 -60.121300781814774 -52.55223972293151 -44.95586508290767
H02.403.763_reproductive_medicine.csv H02.403.330_forensic_medicine.csv -65.92216163138465 -62.06226928976069 -57.48538213765383 -49.61346657463665 -42.43234588890839
H02.403.763_reproductive_medicine.csv H02.403.810.468_ophthalmology.csv -73.7222368392391 -68.8145138617742 -64.21805667608459 -56.53271691232008 -48.691902613962114
H02.403.763_reproductive_medicine.csv H02.403.810.788_surgery_plastic.csv -85.57154993595387 -82.4406391997821 -78.5496358658427 -70.99509047493636 -63.129120119998824
H02.403.763_reproductive_medicine.csv H02.403.429.480_infectious_disease_medicine.csv -83.23867267439202 -79.66762750475178 -75.96580560334728 -68.43852545750833 -60.54018713097372
H02.403.763_reproductive_medicine.csv H02.403.600_neurology.csv -73.8759296274297 -68.8352654955314 -64.32720746220485 -56.654219042852745 -48.83784649094926
H02.403.763_reproductive_medicine.csv H02.403.763_reproductive_medicine.csv -83.02281255142525 -82.14764314561782 -79.70353179981926 -73.11745655011633 -65.60152042997072
H02.403.763_reproductive_medicine.csv H02.403.690_psychiatry.csv -73.8265768816973 -71.81254047124149 -68.78062083047998 -61.43384305997937 -53.476462015083385
H02.403.763_reproductive_medicine.csv H02.403.429.730_rheumatology.csv -74.28173703966202 -69.92915187619145 -65.37465986284687 -57.69378890901575 -49.84106497130341
H02.403.763_reproductive_medicine.csv H02.403.740_radiology.csv -73.92287737165128 -68.49369247879535 -63.73859787227039 -56.08558152515476 -48.407041334491694
H02.403.763_reproductive_medicine.csv H02.403.044.500_immunochemistry.csv -77.5400557505347 -73.23104304723172 -69.05745433080662 -61.561257460441716 -53.754325073868976
H02.403.763_reproductive_medicine.csv H02.403.429.580_nephrology.csv -74.16276393235725 -69.76522994458442 -65.01899710355342 -57.36788830760543 -49.55767324119981
H02.403.763_reproductive_medicine.csv H02.403.670.500_perinatology.csv -70.69675077882756 -66.69860499371629 -62.87839799101271 -55.36583685345978 -47.6102497817874
H02.403.763_reproductive_medicine.csv H02.403.830_sports_medicine.csv -88.2130466613385 -84.67928175024664 -81.39587513599025 -73.91771969367849 -65.95213354397322
H02.403.763_reproductive_medicine.csv H02.403.355_geriatrics.csv -71.03849836323894 -65.6481701279318 -60.61451544825356 -52.94295122503639 -45.20846502167242
H02.403.763_reproductive_medicine.csv H02.403.810.494_orthopedics.csv -86.51083861139897 -83.25404562965167 -79.60585300941666 -72.22711321348903 -64.45456363129557
H02.403.763_reproductive_medicine.csv H02.403.810.850_traumatology.csv -75.3926196925262 -70.14234031500938 -65.16750296321648 -57.420202054727625 -49.59212547845063
H02.403.763_reproductive_medicine.csv H02.403.670.400_neonatology.csv -71.61799140908947 -66.55144285171292 -62.3126486430621 -54.770155323742514 -47.08434802144468
H02.403.763_reproductive_medicine.csv H02.403.350_genetics_medical.csv -73.65802717769884 -69.97383958405128 -65.8229761241079 -58.26151074199104 -50.56617607275134
H02.403.763_reproductive_medicine.csv H02.403.810.425_neurosurgery.csv -81.37155830649529 -76.17774157045568 -72.41471775294833 -64.8599064839205 -57.02952344571458
H02.403.763_reproductive_medicine.csv H02.403.810.526_otolaryngology.csv -68.1422085240666 -62.73379128611603 -57.92579262995988 -50.47182681239534 -42.92321777646199
H02.403.763_reproductive_medicine.csv H02.403.720.500_epidemiology.csv -75.55430059000174 -72.44456594541177 -68.96962165921751 -61.5759155704591 -53.796885935388985
H02.403.763_reproductive_medicine.csv H02.403.650_pathology.csv -69.34593781606863 -64.03159642715377 -59.217950046480695 -51.698038581376196 -44.1512317356766
H02.403.763_reproductive_medicine.csv H02.403.066_anesthesiology.csv -87.6524511480248 -83.89280231536873 -79.95890246912154 -72.2149845478646 -64.18311003236809
H02.403.763_reproductive_medicine.csv H02.403.429.405_gastroenterology.csv -70.85001097101343 -65.58777721810806 -60.40713668663535 -52.76706344376873 -45.05824576887621
H02.403.763_reproductive_medicine.csv H02.403.763.750_gynecology.csv -69.58431705376127 -65.50588905929156 -61.231105488415345 -53.88838493584119 -46.28750901130823
H02.403.763_reproductive_medicine.csv H02.403.225_dermatology.csv -66.9639195920941 -61.373160994153075 -56.159986972645285 -48.56009398641584 -41.094830722859676
H02.403.763_reproductive_medicine.csv H02.403.720.750_preventive_medicine.csv -76.19779369513383 -71.85668516903239 -67.52844317945615 -59.98953768401493 -52.253120365420344
H02.403.763_reproductive_medicine.csv H02.403.429.675_pulmonary_medicine.csv -77.08985623839709 -71.69047746474733 -66.93150038739616 -59.17182940939916 -51.24501988102701
H02.403.763_reproductive_medicine.csv H02.403.810.450_obstetrics.csv -71.94824581098837 -68.52347325244327 -64.98358448351935 -57.535717748255536 -49.73379050034422
H02.403.763_reproductive_medicine.csv H02.403.429.445_hematology.csv -76.774603646092 -71.79229608990978 -67.03358340538274 -59.308588663848305 -51.43356751970427
H02.403.763_reproductive_medicine.csv H02.403.645_palliative_medicine.csv -77.25744383466653 -73.81564254597417 -69.33238409351489 -61.847281588882886 -53.99008333586895
H02.403.763_reproductive_medicine.csv H02.403.340.500_family_practice.csv -72.71917283145524 -70.74844592804408 -67.37428970423377 -60.139512412971094 -52.342125402069996
H02.403.763_reproductive_medicine.csv H02.403.429_internal_medicine.csv -73.04873097756138 -68.99623622650134 -64.15469844655796 -56.52938812283943 -48.757625276547074
H02.403.763_reproductive_medicine.csv H02.403.810_specialties_surgical.csv -84.87363092829095 -82.5915797177994 -77.81627289123321 -70.2878168849375 -61.98342835462987
H02.403.763_reproductive_medicine.csv H02.403.670_pediatrics.csv -73.05167959347206 -68.45922474146153 -63.97616351214165 -56.31430615787745 -48.5803608573565
H02.403.763_reproductive_medicine.csv H02.403.810.300_general_surgery.csv -77.6903016578906 -72.89238274468617 -68.48286718637299 -60.88090733978871 -53.08727353226361
H02.403.763_reproductive_medicine.csv H02.403.909_venereology.csv -81.7966663173366 -78.80950575826631 -75.65326812849504 -68.24896602585218 -60.551603864458556
H02.403.763_reproductive_medicine.csv H02.403.044_allergy_and_immunology.csv -73.81798422031561 -70.81658647787474 -69.06591288215547 -61.75562090321863 -54.48502836726587
H02.403.763_reproductive_medicine.csv H02.403.500_military_medicine.csv -78.651567208325 -83.13854084327438 -83.1656851655055 -74.73599973859677 -66.43199976764157
H02.403.763_reproductive_medicine.csv H02.403.680.600_rehabilitation.csv -80.51635801018587 -76.93062646209412 -73.32976559585538 -65.90233086549978 -58.234435613374124
H02.403.763_reproductive_medicine.csv H02.403.740.500_nuclear_medicine.csv -90.02277866950811 -87.9795799403768 -84.9345801596684 -77.4995089606522 -69.62688200079332
H02.403.763_reproductive_medicine.csv H02.403.810.803_thoracic_surgery.csv -85.08009167737032 -79.7533913995701 -75.66227365859244 -67.97811719789038 -60.061435778153204
H02.403.763_reproductive_medicine.csv H02.403.810.860_urology.csv -69.96519204283109 -65.33784776699314 -60.574615569955334 -53.03749264277738 -45.39164269722933
H02.403.763_reproductive_medicine.csv H02.403.429.163_cardiology.csv -77.49604175901884 -72.25169280441833 -67.74415944427969 -60.0319820145792 -52.17663134352567
H02.403.763_reproductive_medicine.csv H02.403.879_tropical_medicine.csv -74.40855794965476 -70.51866557469064 -66.02452774542517 -58.486760788003814 -50.43805800092987
