Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.810.300_general_surgery.csv H02.403.340_general_practice.csv -74.23697398025179 -76.07360129364001 -78.8905859268534 -73.49443632510831 -64.55582872895292
H02.403.810.300_general_surgery.csv H02.403.429.515_medical_oncology.csv -70.62042467390795 -69.32459376022214 -69.18484428162436 -62.75482951716268 -54.55659038633698
H02.403.810.300_general_surgery.csv H02.403.330_forensic_medicine.csv -69.58049663700143 -68.5963615904743 -67.11829891445161 -59.57144167226653 -51.53758927875682
H02.403.810.300_general_surgery.csv H02.403.810.468_ophthalmology.csv -76.43117640768874 -74.96063609669366 -74.67935900338178 -67.9213462529272 -59.31348341247238
H02.403.810.300_general_surgery.csv H02.403.810.788_surgery_plastic.csv -85.00821996926916 -86.75453245980773 -89.9884340682731 -84.7550101093453 -76.73428255275535
H02.403.810.300_general_surgery.csv H02.403.429.480_infectious_disease_medicine.csv -87.03330331761032 -86.61114075211924 -88.46125529468016 -82.36179119807184 -73.79173717291623
H02.403.810.300_general_surgery.csv H02.403.600_neurology.csv -76.35397222656506 -74.6729839798962 -74.67087996335324 -67.9979192259374 -59.463513803448386
H02.403.810.300_general_surgery.csv H02.403.763_reproductive_medicine.csv -90.53322808915728 -92.93810288853395 -94.45557186708005 -88.64037587090105 -80.30204450991206
H02.403.810.300_general_surgery.csv H02.403.690_psychiatry.csv -78.3173141878268 -78.29549474430463 -79.64418238606305 -73.67646473888531 -65.14931329852325
H02.403.810.300_general_surgery.csv H02.403.429.730_rheumatology.csv -76.6766780450283 -75.41926758717304 -75.89409331746528 -69.3677866088416 -60.78161382246899
H02.403.810.300_general_surgery.csv H02.403.740_radiology.csv -74.40553555549808 -73.82487499141082 -74.01560756088152 -67.35473788401725 -58.94384042088816
H02.403.810.300_general_surgery.csv H02.403.044.500_immunochemistry.csv -80.24018793000367 -79.0323047422288 -79.78034660248656 -73.59959889966484 -65.27538231796103
H02.403.810.300_general_surgery.csv H02.403.429.580_nephrology.csv -74.09571873410482 -73.8867499697235 -74.94488137181183 -68.73329503359948 -60.28810241184879
