Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.810.425_neurosurgery.csv H02.403.340_general_practice.csv -71.900351586301 -71.91361365826805 -69.64648833090351 -63.27216591156004 -55.06411969173478
H02.403.810.425_neurosurgery.csv H02.403.429.515_medical_oncology.csv -69.16758440094169 -65.40737546269072 -61.37475623185523 -54.243167021906466 -46.66947659261695
H02.403.810.425_neurosurgery.csv H02.403.330_forensic_medicine.csv -66.0753970660214 -63.01186977098067 -58.88267951646582 -51.230626642335274 -44.02700799238361
H02.403.810.425_neurosurgery.csv H02.403.810.468_ophthalmology.csv -72.60455172386045 -69.19101705952286 -65.79330245918032 -58.58387180640788 -50.73592319474635
H02.403.810.425_neurosurgery.csv H02.403.810.788_surgery_plastic.csv -82.76743814273975 -81.94484665561308 -79.9573045663616 -73.24774195546104 -65.60127180075334
H02.403.810.425_neurosurgery.csv H02.403.429.480_infectious_disease_medicine.csv -83.51478648317418 -80.89595589088327 -78.13873693629593 -71.04274232789547 -63.13174344730404
H02.403.810.425_neurosurgery.csv H02.403.600_neurology.csv -71.6779904840754 -68.72726786311904 -65.72633294347942 -58.642942938304586 -50.86306664407674
H02.403.810.425_neurosurgery.csv H02.403.763_reproductive_medicine.csv -88.53057090060035 -86.58218990104452 -83.28306483306727 -76.4116478949149 -68.6225997732542
H02.403.810.425_neurosurgery.csv H02.403.690_psychiatry.csv -73.08440489781152 -72.0931127136887 -70.15143123706261 -63.59771281089671 -55.723570571832546
H02.403.810.425_neurosurgery.csv H02.403.429.730_rheumatology.csv -73.92423532383505 -70.49157899792883 -67.09325074773831 -59.811565356740864 -51.95826637901936
H02.403.810.425_neurosurgery.csv H02.403.740_radiology.csv -72.12156373146584 -68.73550672590284 -65.19249928560707 -58.04192888876332 -50.37231111359052
H02.403.810.425_neurosurgery.csv H02.403.044.500_immunochemistry.csv -77.75885923919931 -74.2847197510146 -71.00389449059666 -63.84858537373417 -56.016210007638996
H02.403.810.425_neurosurgery.csv H02.403.429.580_nephrology.csv -74.11176750064384 -70.5782291175203 -66.74526706851425 -59.459020882593144 -51.59428697320353
H02.403.810.425_neurosurgery.csv H02.403.670.500_perinatology.csv -71.22947101046701 -67.5065603952036 -64.20707985660019 -57.10202810734011 -49.41403094677668
H02.403.810.425_neurosurgery.csv H02.403.830_sports_medicine.csv -86.30466963621507 -85.06846267997955 -83.40088671215533 -76.61943222030847 -68.7223229787287
H02.403.810.425_neurosurgery.csv H02.403.355_geriatrics.csv -69.97219814101739 -66.11132660690177 -62.07391121705732 -54.79878732256621 -47.02742031468873
H02.403.810.425_neurosurgery.csv H02.403.810.494_orthopedics.csv -82.62999182085936 -81.99340647537775 -80.53749277351741 -74.23866997689838 -66.8532665504112
H02.403.810.425_neurosurgery.csv H02.403.810.850_traumatology.csv -73.15997351389599 -70.30765732527355 -66.622542621758 -59.40045159076711 -51.58086761527118
H02.403.810.425_neurosurgery.csv H02.403.670.400_neonatology.csv -71.8310628313975 -67.48186809035774 -63.893702948617495 -56.721220268185235 -49.00347381575439
H02.403.810.425_neurosurgery.csv H02.403.350_genetics_medical.csv -73.68686459143888 -70.42074550821779 -67.43690741258429 -60.37847507690516 -52.72374187359404
H02.403.810.425_neurosurgery.csv H02.403.810.425_neurosurgery.csv -75.7995670037307 -73.66963441506711 -72.4190403880344 -66.16638789446634 -58.77789049066298
H02.403.810.425_neurosurgery.csv H02.403.810.526_otolaryngology.csv -66.97747352725641 -62.71277737727587 -58.83463473093573 -51.95604750349835 -44.50200019604068
H02.403.810.425_neurosurgery.csv H02.403.720.500_epidemiology.csv -75.91952124416237 -73.28068212124546 -70.55518967136258 -63.54889039401983 -55.80799493020889
H02.403.810.425_neurosurgery.csv H02.403.650_pathology.csv -68.51179470942661 -64.25292812283163 -60.312159482896476 -53.28261434678298 -45.799646564177074
H02.403.810.425_neurosurgery.csv H02.403.066_anesthesiology.csv -83.97581337078792 -83.53360811865755 -81.92320618999938 -75.04810793385019 -67.06760281082646
H02.403.810.425_neurosurgery.csv H02.403.429.405_gastroenterology.csv -69.6724329321224 -66.04143791047342 -61.86599543276315 -54.607443314029595 -46.87590775017512
H02.403.810.425_neurosurgery.csv H02.403.763.750_gynecology.csv -70.48791090060836 -66.44537417679776 -62.52665261434507 -55.55985095105236 -48.01511849294803
H02.403.810.425_neurosurgery.csv H02.403.225_dermatology.csv -66.83403687634542 -62.0929712082682 -57.69486723393968 -50.36256368232045 -42.82982151152783
H02.403.810.425_neurosurgery.csv H02.403.720.750_preventive_medicine.csv -75.32803636949248 -72.43559367195991 -69.23566441849431 -62.15841961935093 -54.41181465164086
H02.403.810.425_neurosurgery.csv H02.403.429.675_pulmonary_medicine.csv -76.01991475311179 -72.23217848058626 -68.51650096584429 -61.24257448272844 -53.30233301824857
H02.403.810.425_neurosurgery.csv H02.403.810.450_obstetrics.csv -72.52951104029691 -69.33069994112336 -66.26294542119118 -59.24779753868658 -51.55475643320491
H02.403.810.425_neurosurgery.csv H02.403.429.445_hematology.csv -76.68859423332103 -72.67378546409316 -68.96136200244861 -61.56080497268432 -53.62734550830047
H02.403.810.425_neurosurgery.csv H02.403.645_palliative_medicine.csv -76.06097022880823 -74.57050752204265 -71.14969637732214 -64.2325271934993 -56.346244695122934
H02.403.810.425_neurosurgery.csv H02.403.340.500_family_practice.csv -73.43243824902068 -72.71379259804748 -69.58893875234742 -62.463242236312766 -54.58228318281017
H02.403.810.425_neurosurgery.csv H02.403.429_internal_medicine.csv -72.37385165179751 -69.52270299371462 -65.8991654160843 -58.62529589236536 -50.77587468952074
H02.403.810.425_neurosurgery.csv H02.403.810_specialties_surgical.csv -83.14954007759168 -83.03934650282882 -79.99854444438589 -73.00235259397634 -64.76914695926324
H02.403.810.425_neurosurgery.csv H02.403.670_pediatrics.csv -72.63425326199403 -69.09332444659545 -65.68554255224439 -58.41837291442148 -50.632400028645655
H02.403.810.425_neurosurgery.csv H02.403.810.300_general_surgery.csv -76.18480393422415 -73.18676104190646 -70.03508057127996 -62.99040512769523 -55.238752944333875
H02.403.810.425_neurosurgery.csv H02.403.909_venereology.csv -82.29913002040568 -80.28979949878139 -78.6963524144325 -71.6084902945713 -63.75217920198149
H02.403.810.425_neurosurgery.csv H02.403.044_allergy_and_immunology.csv -74.10891752826954 -69.98734008935183 -68.23627905848082 -61.776598529929316 -55.12992265311583
H02.403.810.425_neurosurgery.csv H02.403.500_military_medicine.csv -77.61610336725613 -87.77396419900948 -85.49714739408893 -78.24968209808152 -69.5546775053492
H02.403.810.425_neurosurgery.csv H02.403.680.600_rehabilitation.csv -78.24699675216827 -76.72407999573622 -74.75282901680154 -68.06913593195402 -60.54019635667672
H02.403.810.425_neurosurgery.csv H02.403.740.500_nuclear_medicine.csv -88.82592459932789 -88.87375145101868 -87.37107105557914 -80.62064116898996 -72.69906654986268
H02.403.810.425_neurosurgery.csv H02.403.810.803_thoracic_surgery.csv -82.93878871554952 -80.12533257904823 -77.5816406193792 -70.55458661140895 -62.63497735939267
