Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.810.450_obstetrics.csv H02.403.340_general_practice.csv -73.11757981946647 -73.95836360401614 -73.52017558952875 -67.15710242446019 -58.72147406240712
H02.403.810.450_obstetrics.csv H02.403.429.515_medical_oncology.csv -72.19284588228965 -68.47709663955483 -65.16852395762875 -57.84736149223154 -49.85183048339924
H02.403.810.450_obstetrics.csv H02.403.330_forensic_medicine.csv -67.41078445628598 -65.29082200815421 -62.374501056012406 -54.62135297239177 -47.05233038565831
H02.403.810.450_obstetrics.csv H02.403.810.468_ophthalmology.csv -76.1577308161647 -72.502631793993 -69.88989454113974 -62.45652401625799 -54.1190473852281
H02.403.810.450_obstetrics.csv H02.403.810.788_surgery_plastic.csv -88.5828245967517 -87.22946666059582 -85.42372822600036 -78.2731555136875 -70.10866738341551
H02.403.810.450_obstetrics.csv H02.403.429.480_infectious_disease_medicine.csv -84.74053893636072 -82.91302907637834 -82.24331345106972 -75.44112047201486 -67.2179105936113
H02.403.810.450_obstetrics.csv H02.403.600_neurology.csv -75.86373297431292 -72.29609385105937 -69.89532794825851 -62.53938374550056 -54.265157757046005
H02.403.810.450_obstetrics.csv H02.403.763_reproductive_medicine.csv -87.49342916635712 -87.95254195215475 -87.34711706868603 -81.11864330410384 -73.19883968575328
H02.403.810.450_obstetrics.csv H02.403.690_psychiatry.csv -75.52088274752343 -74.61561544379111 -74.01518590188435 -67.56952234745602 -59.36380273917849
H02.403.810.450_obstetrics.csv H02.403.429.730_rheumatology.csv -76.55238333063916 -73.4072816911234 -71.18937038327572 -63.78224623837865 -55.43027119947644
H02.403.810.450_obstetrics.csv H02.403.740_radiology.csv -76.1089140736562 -72.52870354959335 -69.52108631456261 -61.999273979375396 -53.797086046697906
H02.403.810.450_obstetrics.csv H02.403.044.500_immunochemistry.csv -79.26407999032752 -76.54662416450371 -74.6080064619235 -67.67032435113674 -59.55454586932178
H02.403.810.450_obstetrics.csv H02.403.429.580_nephrology.csv -75.66332387071844 -73.04813465086355 -70.62614298395756 -63.34769648531163 -55.049115640284725
H02.403.810.450_obstetrics.csv H02.403.670.500_perinatology.csv -68.74804775526538 -66.88885515671603 -66.63935706062561 -60.473142372606915 -52.669264305046326
H02.403.810.450_obstetrics.csv H02.403.830_sports_medicine.csv -91.94778493533823 -90.14141062105513 -89.29210273323072 -81.93502945660818 -73.45376816378713
H02.403.810.450_obstetrics.csv H02.403.355_geriatrics.csv -73.26989126264785 -69.38061607177322 -66.03079570784331 -58.47872316442948 -50.2311171510969
H02.403.810.450_obstetrics.csv H02.403.810.494_orthopedics.csv -89.38750412652433 -87.75993554263982 -86.38949085200665 -79.53195580428576 -71.59678732654794
H02.403.810.450_obstetrics.csv H02.403.810.850_traumatology.csv -77.79288076084701 -74.37280406360505 -71.0657287944957 -63.43408073039011 -55.113160463356216
H02.403.810.450_obstetrics.csv H02.403.670.400_neonatology.csv -71.2637146482416 -68.29980998782806 -66.82211935116062 -60.14733864914138 -52.26102091981804
H02.403.810.450_obstetrics.csv H02.403.350_genetics_medical.csv -75.80360459237727 -73.16030212985842 -71.4642871705894 -64.35139925538805 -56.23306127101271
H02.403.810.450_obstetrics.csv H02.403.810.425_neurosurgery.csv -83.6778168876638 -79.9508005055131 -78.37204151461039 -71.28882107922264 -63.18423766671016
H02.403.810.450_obstetrics.csv H02.403.810.526_otolaryngology.csv -70.78677600326438 -65.96988871513265 -62.63700215038379 -55.464062135135435 -47.549840229183836
H02.403.810.450_obstetrics.csv H02.403.720.500_epidemiology.csv -77.09376220489487 -75.21207660644656 -74.30263696128014 -67.64325165353722 -59.57363053687096
H02.403.810.450_obstetrics.csv H02.403.650_pathology.csv -71.4871974311765 -67.26134891919784 -64.03764939239416 -56.828421999851564 -48.92433267653
H02.403.810.450_obstetrics.csv H02.403.066_anesthesiology.csv -88.87547629381015 -88.10641739956363 -87.35212074484019 -80.0485240804392 -71.49572711611654
H02.403.810.450_obstetrics.csv H02.403.429.405_gastroenterology.csv -72.56500204431552 -68.91333041889771 -65.6312731092977 -58.221459301658925 -50.03418034036633
H02.403.810.450_obstetrics.csv H02.403.763.750_gynecology.csv -69.60333491041767 -67.22845756673456 -65.55541868273819 -58.966925283 -51.19653258567272
H02.403.810.450_obstetrics.csv H02.403.225_dermatology.csv -69.43051043759691 -64.65679507243404 -61.03075067759942 -53.55033275289173 -45.617027254160135
H02.403.810.450_obstetrics.csv H02.403.720.750_preventive_medicine.csv -77.77781573088562 -75.22950770813944 -73.23571513507346 -66.144438411029 -58.014248044727985
H02.403.810.450_obstetrics.csv H02.403.429.675_pulmonary_medicine.csv -78.81549640218579 -75.63957158344274 -72.86660161839283 -65.28619493719928 -56.842522250708505
H02.403.810.450_obstetrics.csv H02.403.810.450_obstetrics.csv -69.5954403578071 -68.37149156567007 -68.66689960014753 -62.732955807448896 -54.95018103514435
H02.403.810.450_obstetrics.csv H02.403.429.445_hematology.csv -78.13781753935481 -75.18384402873923 -72.86218308333544 -65.47774470385497 -57.147134071580055
H02.403.810.450_obstetrics.csv H02.403.645_palliative_medicine.csv -80.06304641922036 -78.17065455881341 -75.54634360028402 -68.35859151986732 -60.02961190680974
H02.403.810.450_obstetrics.csv H02.403.340.500_family_practice.csv -74.68258580929933 -73.59597405124266 -72.74298105326922 -66.30836927066282 -58.0751864078414
H02.403.810.450_obstetrics.csv H02.403.429_internal_medicine.csv -74.40928354823632 -72.11296399011205 -69.55483660985442 -62.1682687011552 -53.96649023373304
H02.403.810.450_obstetrics.csv H02.403.810_specialties_surgical.csv -87.6554153174037 -86.83610506277549 -84.58068586567285 -77.47564556222217 -69.02590948937316
H02.403.810.450_obstetrics.csv H02.403.670_pediatrics.csv -74.29467415644828 -71.46076132958625 -69.41046566952679 -62.18031380225065 -54.00795055591288
H02.403.810.450_obstetrics.csv H02.403.810.300_general_surgery.csv -79.85481413003967 -76.85450906670849 -74.50117589787097 -67.21118387562625 -58.986294335696265
