Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.810.468_ophthalmology.csv H02.403.340_general_practice.csv -72.41166765640772 -73.55637707670766 -72.11313137214334 -65.83944822848065 -57.358506389549575
H02.403.810.468_ophthalmology.csv H02.403.429.515_medical_oncology.csv -70.51000197411663 -67.5985446427565 -63.86093869340286 -56.58041963615601 -48.7699127942826
H02.403.810.468_ophthalmology.csv H02.403.330_forensic_medicine.csv -67.61312874714942 -65.1578646415925 -61.28769671539461 -53.42832977838197 -45.98606219623497
H02.403.810.468_ophthalmology.csv H02.403.810.468_ophthalmology.csv -70.19111262133006 -68.98998088719641 -67.20064391619643 -60.58105924035897 -52.74232937334861
H02.403.810.468_ophthalmology.csv H02.403.810.788_surgery_plastic.csv -86.1788609129127 -85.90364530855943 -83.62132944227348 -76.54777374490162 -68.55865125326235
H02.403.810.468_ophthalmology.csv H02.403.429.480_infectious_disease_medicine.csv -84.23110490999855 -83.07853852554189 -81.07721751504042 -73.97528032063482 -65.81908645559365
H02.403.810.468_ophthalmology.csv H02.403.600_neurology.csv -73.0865863908349 -70.8110390205116 -68.20739354788537 -61.045463091603715 -53.03881390577735
H02.403.810.468_ophthalmology.csv H02.403.763_reproductive_medicine.csv -90.06202486468914 -89.39593969026261 -86.40435410277881 -79.55356633587657 -71.5194861928372
H02.403.810.468_ophthalmology.csv H02.403.690_psychiatry.csv -74.27654812989249 -73.95233884590932 -72.63251328924713 -65.94393299622195 -57.94072544534312
H02.403.810.468_ophthalmology.csv H02.403.429.730_rheumatology.csv -73.13261599297206 -70.9404465171823 -68.71858382202159 -61.99256600538172 -54.12877344841129
H02.403.810.468_ophthalmology.csv H02.403.740_radiology.csv -74.1180549206515 -71.38485070434862 -67.97390820505981 -60.5686812768496 -52.58103825346504
H02.403.810.468_ophthalmology.csv H02.403.044.500_immunochemistry.csv -77.72667075529365 -75.95472341261333 -73.44053544390309 -66.37109733839367 -58.37195192751465
H02.403.810.468_ophthalmology.csv H02.403.429.580_nephrology.csv -74.73461065510041 -72.56656443465545 -69.28872260099828 -61.95019352102732 -53.834587600370156
H02.403.810.468_ophthalmology.csv H02.403.670.500_perinatology.csv -72.08451939591973 -69.55497994786292 -66.74874225055774 -59.64121638020388 -51.67877836885575
H02.403.810.468_ophthalmology.csv H02.403.830_sports_medicine.csv -89.70258887492231 -88.98510685820928 -87.22531229657116 -80.12711305456996 -71.82019059489484
H02.403.810.468_ophthalmology.csv H02.403.355_geriatrics.csv -71.49160271191947 -68.33334065302991 -64.59192020626206 -57.13394025667744 -49.09971309450409
H02.403.810.468_ophthalmology.csv H02.403.810.494_orthopedics.csv -86.77409381963055 -86.40553627993187 -84.53186140978374 -77.81406035182025 -70.00159762374751
H02.403.810.468_ophthalmology.csv H02.403.810.850_traumatology.csv -76.10168091476501 -73.36584286235325 -69.58239366162407 -62.02953149439252 -53.88219889019601
H02.403.810.468_ophthalmology.csv H02.403.670.400_neonatology.csv -72.02013079323628 -69.17742988339629 -66.317138188023 -59.08152179321582 -51.133602144595706
H02.403.810.468_ophthalmology.csv H02.403.350_genetics_medical.csv -73.43086893197885 -71.61996641003314 -69.61022748105032 -62.73768038976357 -54.930008935034095
H02.403.810.468_ophthalmology.csv H02.403.810.425_neurosurgery.csv -81.01354862470771 -78.70805154780504 -76.77561677746107 -69.73642116402745 -61.81256124783941
H02.403.810.468_ophthalmology.csv H02.403.810.526_otolaryngology.csv -67.94632881974759 -64.68408238928399 -61.15629478379978 -54.13315128792744 -46.46724730008918
H02.403.810.468_ophthalmology.csv H02.403.720.500_epidemiology.csv -76.59723706365509 -75.58151361829387 -73.5185144562864 -66.47181584058801 -58.415107625152025
H02.403.810.468_ophthalmology.csv H02.403.650_pathology.csv -69.6254021906728 -66.3248478816881 -62.736697570841066 -55.587381057196176 -47.87244759763415
