Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.810.494_orthopedics.csv H02.403.340_general_practice.csv -71.19920636716706 -70.56468054398438 -67.60542650892042 -60.80774542480621 -52.85906143097285
H02.403.810.494_orthopedics.csv H02.403.429.515_medical_oncology.csv -69.31854601267227 -64.5449895018304 -59.89029790358502 -52.6015470504426 -45.07055160039993
H02.403.810.494_orthopedics.csv H02.403.330_forensic_medicine.csv -65.2717980844495 -62.03133143696168 -57.39401012393931 -49.61299071757376 -42.46300992060001
H02.403.810.494_orthopedics.csv H02.403.810.468_ophthalmology.csv -72.61734278747518 -68.2160746718336 -64.0534801883719 -56.65624512023545 -48.86682468491098
H02.403.810.494_orthopedics.csv H02.403.810.788_surgery_plastic.csv -79.86626865249201 -78.74137329896601 -77.0576174615839 -70.67308226873071 -63.22679380903961
H02.403.810.494_orthopedics.csv H02.403.429.480_infectious_disease_medicine.csv -82.79733797698388 -79.56382625807039 -76.00660543544757 -68.6464732298136 -60.78692742850551
H02.403.810.494_orthopedics.csv H02.403.600_neurology.csv -72.64825438225867 -68.2431468217334 -64.18336480161403 -56.801867642349215 -49.02280172470625
H02.403.810.494_orthopedics.csv H02.403.763_reproductive_medicine.csv -88.1413913258788 -84.95536357193805 -80.83291838735366 -73.74026715733042 -66.0266645354486
H02.403.810.494_orthopedics.csv H02.403.690_psychiatry.csv -73.47099611002977 -71.39259904184193 -68.53746148524962 -61.516050656749464 -53.642533905391105
H02.403.810.494_orthopedics.csv H02.403.429.730_rheumatology.csv -72.37650060898997 -68.76200052047469 -65.04949450595693 -57.801457024391745 -50.02971593219879
H02.403.810.494_orthopedics.csv H02.403.740_radiology.csv -72.27820869519205 -67.78918912492402 -63.548799400786486 -56.18484432142014 -48.56018950711408
H02.403.810.494_orthopedics.csv H02.403.044.500_immunochemistry.csv -77.41225227810145 -73.10941766158574 -69.10450908641437 -61.820676537560416 -54.00937518206089
H02.403.810.494_orthopedics.csv H02.403.429.580_nephrology.csv -74.2400398526295 -69.3127546353347 -64.88107956576067 -57.503321735971994 -49.72618640821158
H02.403.810.494_orthopedics.csv H02.403.670.500_perinatology.csv -71.50415413952238 -66.78202102623543 -62.678750752907064 -55.39154458866832 -47.72277115560857
H02.403.810.494_orthopedics.csv H02.403.830_sports_medicine.csv -86.03002497545451 -83.9605345183095 -81.33712682714082 -74.08451603827565 -66.1941774391321
H02.403.810.494_orthopedics.csv H02.403.355_geriatrics.csv -70.02166809480477 -65.01116684369612 -60.403624488860814 -53.01233200156905 -45.3382870679852
H02.403.810.494_orthopedics.csv H02.403.810.494_orthopedics.csv -79.25959888498718 -78.76872995373506 -77.80852423763584 -71.74525530452206 -64.49777904513671
H02.403.810.494_orthopedics.csv H02.403.810.850_traumatology.csv -72.89586610586979 -68.84395625792564 -64.74191187245441 -57.43622011126495 -49.72393378379586
H02.403.810.494_orthopedics.csv H02.403.670.400_neonatology.csv -71.53736368591288 -66.37386673904886 -62.166440568074385 -54.85702561814946 -47.22764831457838
H02.403.810.494_orthopedics.csv H02.403.350_genetics_medical.csv -73.15643324892388 -69.47082664474985 -65.66795397879137 -58.40281689487544 -50.76394730280802
H02.403.810.494_orthopedics.csv H02.403.810.425_neurosurgery.csv -78.24355843548163 -74.57520894354583 -71.72575522611677 -64.70728239672628 -57.05873463714691
H02.403.810.494_orthopedics.csv H02.403.810.526_otolaryngology.csv -66.96881033995034 -62.04075954718243 -57.546146733763884 -50.45909476907709 -43.00230188517756
H02.403.810.494_orthopedics.csv H02.403.720.500_epidemiology.csv -75.64349302138449 -72.35161770839143 -68.83325431956311 -61.64135719033278 -53.93606600214264
H02.403.810.494_orthopedics.csv H02.403.650_pathology.csv -68.63344878663962 -63.49282941643097 -58.94403337150319 -51.734687584642344 -44.25478841547015
H02.403.810.494_orthopedics.csv H02.403.066_anesthesiology.csv -84.56981882341732 -82.50336342958684 -79.69690832810468 -72.42230783770927 -64.47378844207235
H02.403.810.494_orthopedics.csv H02.403.429.405_gastroenterology.csv -70.21409837841234 -65.04271649341287 -60.231846850886605 -52.85283473461772 -45.203818663111704
H02.403.810.494_orthopedics.csv H02.403.763.750_gynecology.csv -70.35298912638793 -65.54305615247685 -61.08213665094643 -53.94296550806588 -46.4103695352371
H02.403.810.494_orthopedics.csv H02.403.225_dermatology.csv -66.2664524381873 -61.00990004127897 -56.09035121826921 -48.712458772199604 -41.2704256658742
H02.403.810.494_orthopedics.csv H02.403.720.750_preventive_medicine.csv -75.33510730425587 -71.30915289681266 -67.37134792098698 -60.12562246113492 -52.44220872098045
H02.403.810.494_orthopedics.csv H02.403.429.675_pulmonary_medicine.csv -76.02604197431786 -70.97804831665596 -66.74938620507541 -59.32852128297898 -51.44733386833656
H02.403.810.494_orthopedics.csv H02.403.810.450_obstetrics.csv -73.07490110965303 -68.74476780504958 -64.7972642601696 -57.54392589164816 -49.83513110244313
H02.403.810.494_orthopedics.csv H02.403.429.445_hematology.csv -75.98375574193466 -71.25770535890952 -66.9594353863939 -59.49800472013275 -51.64884442455469
H02.403.810.494_orthopedics.csv H02.403.645_palliative_medicine.csv -75.92073807380251 -73.18071515936195 -69.10081719871908 -62.004359580983845 -54.21164564559266
H02.403.810.494_orthopedics.csv H02.403.340.500_family_practice.csv -72.21152882475258 -70.57436975318647 -67.23833583693559 -60.298758547031575 -52.54078599591884
H02.403.810.494_orthopedics.csv H02.403.429_internal_medicine.csv -72.28452733699011 -68.36669845033033 -64.11496475249007 -56.78222749451923 -49.00963063602196
H02.403.810.494_orthopedics.csv H02.403.810_specialties_surgical.csv -81.84608742654187 -80.79580779635424 -77.31455516280457 -70.22641722829793 -62.24871139946634
H02.403.810.494_orthopedics.csv H02.403.670_pediatrics.csv -72.17812798126484 -67.93571026492877 -63.7968080581787 -56.435379699506065 -48.75697773186945
H02.403.810.494_orthopedics.csv H02.403.810.300_general_surgery.csv -76.23574182328638 -72.01065511830676 -68.1658249089101 -60.9492379327054 -53.25116913838102
H02.403.810.494_orthopedics.csv H02.403.909_venereology.csv -82.4813015869522 -79.49481622459537 -76.85329396828064 -69.48357337979465 -61.53651661479059
H02.403.810.494_orthopedics.csv H02.403.044_allergy_and_immunology.csv -73.86682113160026 -70.08332916920452 -67.86374878376745 -61.09805092179196 -54.169113072700576
H02.403.810.494_orthopedics.csv H02.403.500_military_medicine.csv -77.25117659929509 -83.509373499952 -82.89060637932518 -75.11574562534902 -66.76934075491307
H02.403.810.494_orthopedics.csv H02.403.680.600_rehabilitation.csv -77.02172329609309 -74.98738577470577 -72.66633605926182 -65.82396189603601 -58.37798429459077
H02.403.810.494_orthopedics.csv H02.403.740.500_nuclear_medicine.csv -88.28316899331917 -87.43453317323537 -84.92332592629025 -77.79367941193486 -69.92088462375264
H02.403.810.494_orthopedics.csv H02.403.810.803_thoracic_surgery.csv -83.24186755506216 -78.86164214588449 -75.44186097482597 -68.15204435248323 -60.287566870978395
H02.403.810.494_orthopedics.csv H02.403.810.860_urology.csv -70.11288326383051 -64.96637751135647 -60.3587691817586 -53.10138844437044 -45.51068158366927
H02.403.810.494_orthopedics.csv H02.403.429.163_cardiology.csv -76.35884289599707 -71.65767309218822 -67.58422163308356 -60.17858392207196 -52.3670023332737
H02.403.810.494_orthopedics.csv H02.403.879_tropical_medicine.csv -74.77997412211018 -70.49488498347664 -65.94986622640262 -58.62307549747211 -50.65582509300505
H02.403.810.494_orthopedics.csv H02.403.680_physical_and_rehabilitation_medicine.csv -61.74477314223355 -57.68164305906284 -53.96707097935316 -46.581185401935734 -40.249296864319646
H02.403.810.494_orthopedics.csv H02.403.429.323_endocrinology.csv -71.51121606486085 -67.00037935299612 -62.57233695959624 -55.23106582304317 -47.577502131828695
H02.403.810.494_orthopedics.csv H02.403.074_bariatric_medicine.csv -88.98413311464826 -87.08703378631563 -83.99829814772171 -76.84254065837457 -69.02110328225261
H02.403.810.494_orthopedics.csv H02.403.690.150_community_psychiatry.csv -93.08713557180789 -91.815246090672 -89.31679814919511 -82.15505053562194 -74.17502659100622
