Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.810.526_otolaryngology.csv H02.403.340_general_practice.csv -72.49908439867279 -72.54629134918356 -70.99847681550185 -64.96889001960838 -56.52877888409435
H02.403.810.526_otolaryngology.csv H02.403.429.515_medical_oncology.csv -70.31425631490538 -66.63937797511946 -63.03767926935227 -55.85593676485945 -48.0794172269627
H02.403.810.526_otolaryngology.csv H02.403.330_forensic_medicine.csv -67.3609501349472 -63.95173246910773 -60.50285563612627 -52.80135925304844 -45.35583409431348
H02.403.810.526_otolaryngology.csv H02.403.810.468_ophthalmology.csv -73.78965237954552 -70.41192961285542 -67.44794890090003 -60.22149788436652 -52.161398709319144
H02.403.810.526_otolaryngology.csv H02.403.810.788_surgery_plastic.csv -85.30416537819644 -84.30087374603845 -82.36305314210043 -75.44671286332101 -67.53506191007685
H02.403.810.526_otolaryngology.csv H02.403.429.480_infectious_disease_medicine.csv -84.14418898786465 -82.34980813205424 -80.33040914203566 -73.11945788876208 -64.90617531051916
H02.403.810.526_otolaryngology.csv H02.403.600_neurology.csv -73.83268502683802 -70.43568112063583 -67.57927929476404 -60.34346197158503 -52.315249079148465
H02.403.810.526_otolaryngology.csv H02.403.763_reproductive_medicine.csv -90.9118926992961 -88.53104283327468 -85.53107992146917 -78.66039446352973 -70.54732446163773
H02.403.810.526_otolaryngology.csv H02.403.690_psychiatry.csv -74.58637491363935 -73.304927336597 -71.89349876956035 -65.29115359747959 -57.24970935374326
H02.403.810.526_otolaryngology.csv H02.403.429.730_rheumatology.csv -74.7765558390199 -71.59341116915063 -68.73242409083777 -61.49252786001606 -53.411121663299014
H02.403.810.526_otolaryngology.csv H02.403.740_radiology.csv -74.19393488636521 -70.44921241373171 -67.07157000783732 -59.75389862953175 -51.826385515297716
H02.403.810.526_otolaryngology.csv H02.403.044.500_immunochemistry.csv -77.91893449288978 -75.27207216846391 -72.67996542436906 -65.60117664435202 -57.58796545111263
H02.403.810.526_otolaryngology.csv H02.403.429.580_nephrology.csv -75.5561823086679 -71.99984409725502 -68.53594421534234 -61.168008227896784 -53.08130362328183
H02.403.810.526_otolaryngology.csv H02.403.670.500_perinatology.csv -72.8857666714947 -68.96465135257763 -66.04585961635023 -58.884943907252136 -50.93703742931249
H02.403.810.526_otolaryngology.csv H02.403.830_sports_medicine.csv -86.75589969419286 -85.90774258200838 -85.16916611483575 -78.52060005133677 -70.56727304750855
H02.403.810.526_otolaryngology.csv H02.403.355_geriatrics.csv -71.47825934998225 -67.51172690787617 -63.769132677673596 -56.382464820506904 -48.398506200336854
H02.403.810.526_otolaryngology.csv H02.403.810.494_orthopedics.csv -86.79242613796572 -85.34672343758862 -83.44735746404848 -76.7014909847075 -68.91744756891089
H02.403.810.526_otolaryngology.csv H02.403.810.850_traumatology.csv -75.93789685946474 -72.39253206895054 -68.67645841335876 -61.19668193646596 -53.103817375121025
H02.403.810.526_otolaryngology.csv H02.403.670.400_neonatology.csv -72.40942164249267 -68.36987475356202 -65.38259744834174 -58.2659587187298 -50.410332953686726
H02.403.810.526_otolaryngology.csv H02.403.350_genetics_medical.csv -74.46452207120879 -71.52540779333685 -69.07381305470058 -62.03849991296535 -54.19032114705902
H02.403.810.526_otolaryngology.csv H02.403.810.425_neurosurgery.csv -81.27337031731591 -77.62285896016424 -75.65846317916056 -68.75094089974198 -60.86409581384967
H02.403.810.526_otolaryngology.csv H02.403.810.526_otolaryngology.csv -64.91605770296196 -62.10519673139105 -59.76128133082644 -53.28269229104339 -45.76873186456849
H02.403.810.526_otolaryngology.csv H02.403.720.500_epidemiology.csv -76.58633733694079 -74.42942269731152 -72.41296101757992 -65.50627329821405 -57.531437942042146
H02.403.810.526_otolaryngology.csv H02.403.650_pathology.csv -69.77448658449109 -65.59293977796594 -62.019950459469555 -54.90737424641151 -47.20136217557993
H02.403.810.526_otolaryngology.csv H02.403.066_anesthesiology.csv -87.56310410843743 -85.97708066144583 -84.23194994900817 -77.04268136071768 -68.81502571829547
H02.403.810.526_otolaryngology.csv H02.403.429.405_gastroenterology.csv -71.06937949519786 -67.35179184500282 -63.52605494547766 -56.1990754985146 -48.2515834524394
H02.403.810.526_otolaryngology.csv H02.403.763.750_gynecology.csv -71.94623910693053 -67.82366004582094 -64.3318859470064 -57.29509279949177 -49.4950721076769
H02.403.810.526_otolaryngology.csv H02.403.225_dermatology.csv -67.54754233578842 -63.192535619253746 -59.178632631163524 -51.778489904609835 -44.04114375897728
H02.403.810.526_otolaryngology.csv H02.403.720.750_preventive_medicine.csv -76.65113449730119 -73.84175965089293 -71.0438379290204 -63.93186465351961 -55.97021266861214
H02.403.810.526_otolaryngology.csv H02.403.429.675_pulmonary_medicine.csv -76.43354225188756 -73.41988072494732 -70.30718108448347 -62.989648134680394 -54.86394180250073
H02.403.810.526_otolaryngology.csv H02.403.810.450_obstetrics.csv -74.71505401692892 -71.10319831034582 -68.31705592717454 -61.18957476691432 -53.18713707064293
H02.403.810.526_otolaryngology.csv H02.403.429.445_hematology.csv -77.62032674388777 -74.10404484367336 -70.76027974868234 -63.29760534961886 -55.14313455997159
H02.403.810.526_otolaryngology.csv H02.403.645_palliative_medicine.csv -76.83868839947203 -75.09189957456138 -72.63229981918504 -65.86856449075184 -57.839301205432214
H02.403.810.526_otolaryngology.csv H02.403.340.500_family_practice.csv -73.80441386344991 -72.50032326863726 -70.67486816823602 -64.13796636647074 -56.08022989837991
H02.403.810.526_otolaryngology.csv H02.403.429_internal_medicine.csv -73.37640852886004 -70.98736064589237 -67.67147594837085 -60.300296413551834 -52.237343044529275
H02.403.810.526_otolaryngology.csv H02.403.810_specialties_surgical.csv -84.72963251787658 -84.84241826952534 -82.0788034976853 -75.08047252273893 -66.49943848109089
H02.403.810.526_otolaryngology.csv H02.403.670_pediatrics.csv -73.05926168536121 -69.94715911415418 -67.1561153593823 -59.98741604896927 -52.034672159881055
