Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.810.788_surgery_plastic.csv H02.403.340_general_practice.csv -70.41825756838824 -69.43349478116286 -65.49593261200701 -58.64468719342559 -50.846882706056924
H02.403.810.788_surgery_plastic.csv H02.403.429.515_medical_oncology.csv -67.26449736537187 -62.36550062765968 -57.6837632545659 -50.66016863079468 -43.42651988257081
H02.403.810.788_surgery_plastic.csv H02.403.330_forensic_medicine.csv -64.39972738931746 -60.13411517920646 -55.44377611500031 -47.861907339193806 -40.923821536532095
H02.403.810.788_surgery_plastic.csv H02.403.810.468_ophthalmology.csv -70.94324929989328 -66.14794121310732 -61.712054297898206 -54.538127087258786 -47.04301015148774
H02.403.810.788_surgery_plastic.csv H02.403.810.788_surgery_plastic.csv -76.82068926078334 -75.8292748784448 -74.20158913237394 -68.07822667384384 -60.89849994686991
H02.403.810.788_surgery_plastic.csv H02.403.429.480_infectious_disease_medicine.csv -81.14320884486243 -77.27651654053382 -73.26938924312579 -66.12344396146752 -58.53425046885228
H02.403.810.788_surgery_plastic.csv H02.403.600_neurology.csv -71.42805868641274 -66.28405312084304 -61.87158381980715 -54.67695536065839 -47.197305485647924
H02.403.810.788_surgery_plastic.csv H02.403.763_reproductive_medicine.csv -85.78974989051243 -82.0406993812484 -77.87412869115772 -71.02575302197633 -63.55469359692964
H02.403.810.788_surgery_plastic.csv H02.403.690_psychiatry.csv -72.31580605804842 -69.31229181592002 -66.01961964270365 -59.194064268211946 -51.624834289051314
H02.403.810.788_surgery_plastic.csv H02.403.429.730_rheumatology.csv -71.3157382309361 -66.99178427902434 -62.744620294950614 -55.62758924400908 -48.15908402365847
H02.403.810.788_surgery_plastic.csv H02.403.740_radiology.csv -70.9362547566128 -65.78725621454068 -61.24858366605115 -54.100651842810464 -46.754517297917744
H02.403.810.788_surgery_plastic.csv H02.403.044.500_immunochemistry.csv -75.3723613437859 -70.7402980557666 -66.564955108322 -59.4841146521565 -51.9959187675534
H02.403.810.788_surgery_plastic.csv H02.403.429.580_nephrology.csv -72.76821374816322 -67.23123323904895 -62.54195118430089 -55.36625622662744 -47.88722349522566
H02.403.810.788_surgery_plastic.csv H02.403.670.500_perinatology.csv -69.97867483870924 -64.8594668941748 -60.45686921242233 -53.382443198616805 -45.99922676125415
H02.403.810.788_surgery_plastic.csv H02.403.830_sports_medicine.csv -83.92946662992992 -81.25956320890073 -78.3311341000757 -71.30201834432762 -63.733720740126024
H02.403.810.788_surgery_plastic.csv H02.403.355_geriatrics.csv -68.19830595768335 -62.93303763530436 -58.19585209784081 -51.04589720439744 -43.6650212607243
H02.403.810.788_surgery_plastic.csv H02.403.810.494_orthopedics.csv -79.60408548371423 -77.74690256918358 -75.63937739068965 -69.35653731801713 -62.18985914252205
H02.403.810.788_surgery_plastic.csv H02.403.810.850_traumatology.csv -71.72923946983352 -66.9766359172894 -62.48943860850361 -55.346137673451025 -47.898520524602226
H02.403.810.788_surgery_plastic.csv H02.403.670.400_neonatology.csv -69.8037175178646 -64.30760716748743 -59.870371986688816 -52.80596439408818 -45.483220502952506
H02.403.810.788_surgery_plastic.csv H02.403.350_genetics_medical.csv -71.91204514190616 -67.61148031791458 -63.32280671150885 -56.2185643257158 -48.86437878404181
H02.403.810.788_surgery_plastic.csv H02.403.810.425_neurosurgery.csv -77.19144629635991 -72.6101724721995 -69.33482733831708 -62.45436745561257 -55.04249115431857
H02.403.810.788_surgery_plastic.csv H02.403.810.526_otolaryngology.csv -65.08667347126755 -59.909864181777124 -55.407772956316066 -48.590786746187305 -41.43342055093134
H02.403.810.788_surgery_plastic.csv H02.403.720.500_epidemiology.csv -74.22510345206418 -70.34651312488344 -66.52662883493777 -59.47299221662331 -52.00562778469833
H02.403.810.788_surgery_plastic.csv H02.403.650_pathology.csv -66.80205700914411 -61.42970585080343 -56.796886474333455 -49.83147193354625 -42.647157856867196
H02.403.810.788_surgery_plastic.csv H02.403.066_anesthesiology.csv -83.00935366619053 -80.24779775072689 -76.84127699578785 -69.68853382279981 -62.03811234503136
H02.403.810.788_surgery_plastic.csv H02.403.429.405_gastroenterology.csv -68.06307289925967 -62.92683564719018 -58.05313280056945 -50.90757819257995 -43.54531795180851
H02.403.810.788_surgery_plastic.csv H02.403.763.750_gynecology.csv -68.26853235600925 -63.38446092590505 -58.86743926561449 -51.98997156675048 -44.74273174612685
H02.403.810.788_surgery_plastic.csv H02.403.225_dermatology.csv -64.0857768523876 -58.8780607491078 -53.9423572905165 -46.86097402797832 -39.72899036556686
H02.403.810.788_surgery_plastic.csv H02.403.720.750_preventive_medicine.csv -73.69060289002813 -69.18999145146883 -64.97133538803631 -57.91091813080415 -50.5088697200731
H02.403.810.788_surgery_plastic.csv H02.403.429.675_pulmonary_medicine.csv -74.09500123611508 -68.84127193158697 -64.34941197001865 -57.13790705254125 -49.56487993492898
H02.403.810.788_surgery_plastic.csv H02.403.810.450_obstetrics.csv -71.41916698017191 -66.74738483573607 -62.50934331163285 -55.47966405310627 -48.0507890473167
H02.403.810.788_surgery_plastic.csv H02.403.429.445_hematology.csv -74.416765804933 -69.11331951946492 -64.51887575268942 -57.26305041944484 -49.72491678663149
H02.403.810.788_surgery_plastic.csv H02.403.645_palliative_medicine.csv -73.66087079435394 -70.59460596779434 -66.47703865133255 -59.648286473971396 -52.17040316408232
H02.403.810.788_surgery_plastic.csv H02.403.340.500_family_practice.csv -71.32346178634849 -68.87067536481558 -64.8860988730458 -58.03425245143259 -50.57688869964154
H02.403.810.788_surgery_plastic.csv H02.403.429_internal_medicine.csv -70.60670656228528 -66.34981128166189 -61.82989504715391 -54.683623789521434 -47.21037570291298
H02.403.810.788_surgery_plastic.csv H02.403.810_specialties_surgical.csv -80.16860467897494 -78.49776756900683 -74.55426968422196 -67.66932590825193 -59.87724252938411
H02.403.810.788_surgery_plastic.csv H02.403.670_pediatrics.csv -70.89398163349723 -65.97354344618857 -61.49787389544762 -54.332738607944954 -46.93443832225006
H02.403.810.788_surgery_plastic.csv H02.403.810.300_general_surgery.csv -74.26154283547747 -69.77656025280316 -65.71217085860299 -58.700068624688534 -51.28978831747492
H02.403.810.788_surgery_plastic.csv H02.403.909_venereology.csv -79.88430149963696 -77.04223907185586 -73.99579865724883 -66.82471851658183 -59.21817039368966
