Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.810.803_thoracic_surgery.csv H02.403.340_general_practice.csv -72.33282608484049 -72.01506701659838 -70.8780507807942 -64.24527225670148 -56.06601981097474
H02.403.810.803_thoracic_surgery.csv H02.403.429.515_medical_oncology.csv -70.48507056956373 -66.10252421618294 -62.64712587605632 -55.549785190748004 -47.75975828244534
H02.403.810.803_thoracic_surgery.csv H02.403.330_forensic_medicine.csv -68.14488747571616 -63.757299698683 -60.12901694261355 -52.51340355656086 -45.05958554634379
H02.403.810.803_thoracic_surgery.csv H02.403.810.468_ophthalmology.csv -74.56656884888163 -69.99496012847796 -67.03072031289739 -59.86500643537883 -51.78593477866114
H02.403.810.803_thoracic_surgery.csv H02.403.810.788_surgery_plastic.csv -85.20014146361031 -83.26104188831384 -81.73861200316456 -75.01189010025038 -67.12658854217138
H02.403.810.803_thoracic_surgery.csv H02.403.429.480_infectious_disease_medicine.csv -84.46169136101692 -81.2111962406273 -79.49550997182561 -72.58276062228339 -64.42731686066723
H02.403.810.803_thoracic_surgery.csv H02.403.600_neurology.csv -74.17288213750462 -69.82054533527209 -67.05200047074722 -59.950462309980786 -51.929398317071
H02.403.810.803_thoracic_surgery.csv H02.403.763_reproductive_medicine.csv -90.5891745912587 -87.42712611915701 -84.82591054096778 -78.01729205668872 -70.00847621198585
H02.403.810.803_thoracic_surgery.csv H02.403.690_psychiatry.csv -75.86121331576948 -73.29703794022448 -71.68591416984465 -65.04215355736203 -56.88023392676345
H02.403.810.803_thoracic_surgery.csv H02.403.429.730_rheumatology.csv -75.33243428613402 -71.07002480184892 -68.27966380120358 -61.05992029460053 -53.01126320594329
H02.403.810.803_thoracic_surgery.csv H02.403.740_radiology.csv -72.88858455545154 -69.15297193543053 -66.29138023163371 -59.315473577384765 -51.456276434768505
H02.403.810.803_thoracic_surgery.csv H02.403.044.500_immunochemistry.csv -78.79761743675678 -74.72428898780083 -72.10038384394262 -65.13281863191808 -57.16549864504325
H02.403.810.803_thoracic_surgery.csv H02.403.429.580_nephrology.csv -73.56899115299784 -70.30871499362807 -67.6891644621051 -60.68679993607846 -52.682678362601486
H02.403.810.803_thoracic_surgery.csv H02.403.670.500_perinatology.csv -71.8243496903243 -67.72972720520696 -65.34505451605247 -58.47134974453816 -50.58675266182073
H02.403.810.803_thoracic_surgery.csv H02.403.830_sports_medicine.csv -87.28496296668142 -84.79456680212162 -84.36830010223049 -77.90134372296338 -70.0161177292117
H02.403.810.803_thoracic_surgery.csv H02.403.355_geriatrics.csv -70.62107208041712 -66.31842024387915 -63.06290866197199 -55.95093804380779 -48.031739294425755
H02.403.810.803_thoracic_surgery.csv H02.403.810.494_orthopedics.csv -86.23820073075703 -83.95119645497313 -82.67590183566654 -76.16711628122518 -68.47010491254856
H02.403.810.803_thoracic_surgery.csv H02.403.810.850_traumatology.csv -74.88422220373779 -70.91752552818137 -67.84910299160686 -60.70246142591609 -52.71054204611323
H02.403.810.803_thoracic_surgery.csv H02.403.670.400_neonatology.csv -71.95776089599977 -67.50744388518402 -64.8536945226376 -57.90831803075564 -50.065240770767865
H02.403.810.803_thoracic_surgery.csv H02.403.350_genetics_medical.csv -74.99118032391907 -71.20432613512527 -68.69814273915539 -61.69413517640642 -53.8036795044179
H02.403.810.803_thoracic_surgery.csv H02.403.810.425_neurosurgery.csv -80.74407619523208 -76.5569989556062 -75.04540685848819 -68.36353247782704 -60.50413584294495
H02.403.810.803_thoracic_surgery.csv H02.403.810.526_otolaryngology.csv -68.35556147738257 -63.3917798885106 -60.0827677846474 -53.27158091825287 -45.56691740239104
H02.403.810.803_thoracic_surgery.csv H02.403.720.500_epidemiology.csv -77.15234327689387 -74.04507988468168 -71.98897427438747 -65.12106652164914 -57.13453909410851
H02.403.810.803_thoracic_surgery.csv H02.403.650_pathology.csv -69.88646469283496 -65.05506036649217 -61.62754097915362 -54.62001155484288 -46.89598228812454
H02.403.810.803_thoracic_surgery.csv H02.403.066_anesthesiology.csv -83.74485852987246 -82.55681435692905 -82.49192127810394 -76.11920203907763 -68.20564689318938
H02.403.810.803_thoracic_surgery.csv H02.403.429.405_gastroenterology.csv -71.02981024693166 -66.62274929467765 -62.994274338782745 -55.8187873433343 -47.895173796655854
