Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.810.850_traumatology.csv H02.403.340_general_practice.csv -72.23637943412034 -73.73110652443262 -72.62996086570278 -66.53674996501339 -58.327743040134074
H02.403.810.850_traumatology.csv H02.403.429.515_medical_oncology.csv -70.482081023571 -67.82989574804246 -64.59298667286703 -57.4510979797846 -49.526471148456224
H02.403.810.850_traumatology.csv H02.403.330_forensic_medicine.csv -66.90190674615756 -65.2409102998697 -61.97035197697801 -54.19924679442781 -46.65086779028776
H02.403.810.850_traumatology.csv H02.403.810.468_ophthalmology.csv -74.11892796866078 -71.9910578239897 -69.35251650984772 -62.017166692912916 -53.75739162837167
H02.403.810.850_traumatology.csv H02.403.810.788_surgery_plastic.csv -82.82517870186538 -83.8341222414702 -83.69848458630814 -77.41098004937021 -69.553820854334
H02.403.810.850_traumatology.csv H02.403.429.480_infectious_disease_medicine.csv -84.22669565806551 -83.62029600241823 -82.26243781644392 -75.16980800869699 -66.8823400796198
H02.403.810.850_traumatology.csv H02.403.600_neurology.csv -73.73576069573139 -71.62939494897222 -69.29741739551655 -62.10654612582262 -53.90814693042248
H02.403.810.850_traumatology.csv H02.403.763_reproductive_medicine.csv -90.19636183259573 -89.79864168383378 -87.75581297652394 -80.92487983413073 -72.72891639159475
H02.403.810.850_traumatology.csv H02.403.690_psychiatry.csv -74.3143096998257 -74.38145903631954 -73.61879061255515 -67.10551114028715 -58.932105871227954
H02.403.810.850_traumatology.csv H02.403.429.730_rheumatology.csv -74.46564444522375 -72.80305229758656 -70.59510323824496 -63.33488162381885 -55.06072819626032
H02.403.810.850_traumatology.csv H02.403.740_radiology.csv -73.12924291123885 -71.25864807439876 -68.68349558603909 -61.466148598119 -53.395063314246315
H02.403.810.850_traumatology.csv H02.403.044.500_immunochemistry.csv -79.0508493349835 -77.10623947057591 -74.7048911873228 -67.58363539329726 -59.37589677785159
H02.403.810.850_traumatology.csv H02.403.429.580_nephrology.csv -74.66034455233867 -72.88685904245216 -70.14401875872012 -62.95002280191241 -54.704172008903825
H02.403.810.850_traumatology.csv H02.403.670.500_perinatology.csv -71.70819445327915 -69.61759675566975 -67.38768312001551 -60.437061359716274 -52.46336041419715
H02.403.810.850_traumatology.csv H02.403.830_sports_medicine.csv -86.84122651274058 -87.88908330530907 -87.94387193815066 -81.13061217498785 -72.89626518691773
H02.403.810.850_traumatology.csv H02.403.355_geriatrics.csv -71.01699092214723 -68.40793236485203 -65.30007835821898 -58.00745789402539 -49.862163924049796
