Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.810.860_urology.csv H02.403.340_general_practice.csv -73.33473835627288 -74.22507857553954 -75.23736699389914 -69.26861237882714 -60.658730138662776
H02.403.810.860_urology.csv H02.403.429.515_medical_oncology.csv -70.64148455163078 -67.69443732871017 -66.03100418466832 -59.32095049186233 -51.35111583741999
H02.403.810.860_urology.csv H02.403.330_forensic_medicine.csv -69.36726425786775 -65.97464891381594 -63.627825716285024 -55.909410502972996 -48.32782602682902
H02.403.810.860_urology.csv H02.403.810.468_ophthalmology.csv -76.47756744219505 -72.86307839749307 -71.25641665864539 -64.18905403378133 -55.808022230995924
H02.403.810.860_urology.csv H02.403.810.788_surgery_plastic.csv -87.86875416987574 -87.10898570632004 -86.93129397285094 -80.44145389007403 -72.29155351257472
H02.403.810.860_urology.csv H02.403.429.480_infectious_disease_medicine.csv -86.15049926147589 -84.12815582728105 -84.29844336633687 -77.86451036260964 -69.46040763777299
H02.403.810.860_urology.csv H02.403.600_neurology.csv -76.32596269340686 -72.67007327096012 -71.23681519988448 -64.292321633574 -55.96349689789834
H02.403.810.860_urology.csv H02.403.763_reproductive_medicine.csv -90.27246245423812 -89.92218662705989 -89.62741289134367 -83.50666729427004 -75.37609954493064
H02.403.810.860_urology.csv H02.403.690_psychiatry.csv -77.03275118040982 -75.56373004199976 -75.74336869573243 -69.58974673228292 -61.28458644248418
H02.403.810.860_urology.csv H02.403.429.730_rheumatology.csv -75.78783500675924 -73.1548812769243 -72.38319496830361 -65.51996370395118 -57.16929956507749
H02.403.810.860_urology.csv H02.403.740_radiology.csv -75.03305491905854 -72.38144196772654 -70.63570256122385 -63.650652552652936 -55.44800373131854
H02.403.810.860_urology.csv H02.403.044.500_immunochemistry.csv -79.3257598166255 -76.71471720012926 -76.03851745507119 -69.6198249140539 -61.486828704908916
H02.403.810.860_urology.csv H02.403.429.580_nephrology.csv -70.35662738461038 -69.05985413460941 -70.02971442767205 -64.42952852801506 -56.567431455617296
H02.403.810.860_urology.csv H02.403.670.500_perinatology.csv -72.6800711450092 -69.91260873074923 -69.09985715113402 -62.53837655799553 -54.414644249150975
H02.403.810.860_urology.csv H02.403.830_sports_medicine.csv -92.96878298549849 -91.36201318992953 -91.04358300040398 -84.29122974050341 -75.77135122579415
H02.403.810.860_urology.csv H02.403.355_geriatrics.csv -71.95452899540425 -68.68840356699269 -66.87343838695318 -59.94613727115415 -51.72570274775023
H02.403.810.860_urology.csv H02.403.810.494_orthopedics.csv -89.24353072030986 -87.98640839635368 -87.90125287419423 -81.64641186667625 -73.75656316010759
H02.403.810.860_urology.csv H02.403.810.850_traumatology.csv -77.68281751993574 -74.57652500962936 -72.4461942483173 -65.2055624939527 -56.82215852709325
H02.403.810.860_urology.csv H02.403.670.400_neonatology.csv -73.68831696831195 -70.14640015884859 -68.79301738998447 -62.03186576657117 -53.93975872822809
H02.403.810.860_urology.csv H02.403.350_genetics_medical.csv -75.70859277546195 -73.1950966008154 -72.65453020215818 -66.09230364012278 -57.987947974248144
H02.403.810.860_urology.csv H02.403.810.425_neurosurgery.csv -83.82318270046677 -80.19908862851786 -79.7291756994046 -73.10774994547799 -65.01924119967312
H02.403.810.860_urology.csv H02.403.810.526_otolaryngology.csv -70.70365257204149 -66.02556728628711 -63.681080130630754 -56.94148942776808 -48.988582600911535
H02.403.810.860_urology.csv H02.403.720.500_epidemiology.csv -77.9591188803106 -75.7856043559127 -75.81843264376745 -69.53660171792197 -61.40456109209987
H02.403.810.860_urology.csv H02.403.650_pathology.csv -70.46682404243548 -66.85653194064517 -65.00221990662321 -58.31158404305294 -50.40465759562864
H02.403.810.860_urology.csv H02.403.066_anesthesiology.csv -89.54865822833872 -88.95908063037142 -89.23489504112194 -82.438262419715 -73.82952545097383
H02.403.810.860_urology.csv H02.403.429.405_gastroenterology.csv -71.82993207981296 -68.7828979190544 -66.77947693534212 -59.809444852719814 -51.58127814939787
H02.403.810.860_urology.csv H02.403.763.750_gynecology.csv -71.68820056505562 -68.78881915951592 -67.26789095648579 -60.77092603169337 -52.83798152541918
H02.403.810.860_urology.csv H02.403.225_dermatology.csv -69.46817370191171 -64.92601233524641 -62.24532829881119 -55.089786662332116 -47.069606520538876
H02.403.810.860_urology.csv H02.403.720.750_preventive_medicine.csv -77.75349654129487 -75.43486279902257 -74.59523820245205 -68.01458168740726 -59.839722023738545
H02.403.810.860_urology.csv H02.403.429.675_pulmonary_medicine.csv -77.9054820336151 -75.19614299168863 -73.97429744643033 -67.06077499488926 -58.6143325283052
H02.403.810.860_urology.csv H02.403.810.450_obstetrics.csv -74.26545200802248 -71.93658830633572 -71.41152190498816 -64.93238333469071 -56.78930237465541
H02.403.810.860_urology.csv H02.403.429.445_hematology.csv -77.90946005212629 -75.23335681312012 -74.18448767673094 -67.31381747412642 -58.95131201881911
H02.403.810.860_urology.csv H02.403.645_palliative_medicine.csv -77.55516100336084 -76.85585857587145 -76.55692122389289 -70.32092598005698 -61.962646735655014
H02.403.810.860_urology.csv H02.403.340.500_family_practice.csv -74.79616107049081 -73.32192192568944 -73.76094558856956 -68.169173229451 -59.95207946090295
H02.403.810.860_urology.csv H02.403.429_internal_medicine.csv -74.02125664546382 -72.06000061313979 -70.73535732762137 -63.948670036651585 -55.70442527470189
H02.403.810.860_urology.csv H02.403.810_specialties_surgical.csv -85.73152145857911 -86.84223593972386 -86.80861730432571 -80.20944927918761 -71.28848086929254
H02.403.810.860_urology.csv H02.403.670_pediatrics.csv -74.61321861910625 -71.79281925305072 -70.71927365747507 -63.920816985595714 -55.69908931620547
H02.403.810.860_urology.csv H02.403.810.300_general_surgery.csv -78.41018622351146 -76.22515890430503 -75.56044786653412 -68.9760083518326 -60.78860797802495
H02.403.810.860_urology.csv H02.403.909_venereology.csv -83.09384625971228 -81.1908163015679 -82.19169795569591 -76.57213111963361 -68.92755116684629
H02.403.810.860_urology.csv H02.403.044_allergy_and_immunology.csv -75.80890504475308 -72.79498068674964 -73.65353119448173 -68.13140484324464 -61.2272304271672
H02.403.810.860_urology.csv H02.403.500_military_medicine.csv -85.26213411273423 -95.07533423226904 -93.82509883750575 -86.19974732329914 -76.62150526376975
H02.403.810.860_urology.csv H02.403.680.600_rehabilitation.csv -83.4212392844626 -81.37113297652736 -81.23596717274138 -74.722964313718 -66.73923341883165
H02.403.810.860_urology.csv H02.403.740.500_nuclear_medicine.csv -91.15637610696325 -91.72155982960025 -93.44614658864393 -87.87306717587587 -79.85270263012451
H02.403.810.860_urology.csv H02.403.810.803_thoracic_surgery.csv -86.40794339328264 -84.28219898299349 -84.07275016056673 -77.3600081147752 -68.93015812203367
H02.403.810.860_urology.csv H02.403.810.860_urology.csv -66.997094288888 -65.09610157834878 -65.19985913873315 -59.42426303930841 -51.711893684107814
H02.403.810.860_urology.csv H02.403.429.163_cardiology.csv -78.8010357382118 -76.12695230989114 -75.07029649468406 -68.17132018859182 -59.81450054414828
