Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.810_specialties_surgical.csv H02.403.340_general_practice.csv -66.81645355526061 -62.37925364008241 -58.11942108065481 -51.40945469070206 -44.39864182627912
H02.403.810_specialties_surgical.csv H02.403.429.515_medical_oncology.csv -62.80706817599345 -56.19155325791321 -51.0604406510075 -44.43112207748172 -37.9917000219558
H02.403.810_specialties_surgical.csv H02.403.330_forensic_medicine.csv -58.948637961730945 -53.37301724879368 -48.72656456168042 -41.99767138299058 -35.87630190916052
H02.403.810_specialties_surgical.csv H02.403.810.468_ophthalmology.csv -66.27976127598924 -59.70432251085138 -54.51113550594317 -47.789182234884336 -41.13160573123113
H02.403.810_specialties_surgical.csv H02.403.810.788_surgery_plastic.csv -76.14238243330166 -71.03379685041907 -66.6598666993095 -60.002275010710285 -53.339897687945964
H02.403.810_specialties_surgical.csv H02.403.429.480_infectious_disease_medicine.csv -75.18811187294483 -69.32739177288761 -64.60206298317952 -57.886789691004275 -51.15826542033535
H02.403.810_specialties_surgical.csv H02.403.600_neurology.csv -66.52271476652938 -59.727949495900404 -54.64464653327766 -47.90070165152933 -41.26087351710409
H02.403.810_specialties_surgical.csv H02.403.763_reproductive_medicine.csv -80.283991942167 -74.18499405266068 -69.0491787282752 -62.309920687295346 -55.59909763624085
H02.403.810_specialties_surgical.csv H02.403.690_psychiatry.csv -68.01885061798788 -63.33259653480089 -58.7346314854126 -51.930100677660164 -45.16125710326679
H02.403.810_specialties_surgical.csv H02.403.429.730_rheumatology.csv -67.25943972970737 -60.77399796841618 -55.4733644290535 -48.75091794544058 -42.09828850526923
H02.403.810_specialties_surgical.csv H02.403.740_radiology.csv -66.20262959264682 -59.17915572763425 -54.088784643385495 -47.405686992158365 -40.88718362063848
H02.403.810_specialties_surgical.csv H02.403.044.500_immunochemistry.csv -70.06633286075851 -63.630544730505136 -58.71252636896042 -52.0753131411933 -45.44044410589112
