Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.830_sports_medicine.csv H02.403.340_general_practice.csv -67.38052665705581 -64.21475582097985 -60.07574422027483 -53.135357774194496 -45.889148761432054
H02.403.830_sports_medicine.csv H02.403.429.515_medical_oncology.csv -63.833195951653046 -58.02771825092587 -52.73154356257899 -45.930879587856474 -39.27227047174258
H02.403.830_sports_medicine.csv H02.403.330_forensic_medicine.csv -59.569739654380705 -55.45928632473333 -50.53063514158563 -43.433366691798426 -37.080705345924976
H02.403.830_sports_medicine.csv H02.403.810.468_ophthalmology.csv -66.56142527802756 -61.13666716312792 -56.23419413124818 -49.39173016479731 -42.52176416112871
H02.403.830_sports_medicine.csv H02.403.810.788_surgery_plastic.csv -76.8619964068896 -73.12578312429109 -68.84493521068316 -62.00762853832 -55.106561764013044
H02.403.830_sports_medicine.csv H02.403.429.480_infectious_disease_medicine.csv -75.30987303050463 -70.94962874442557 -66.50506712341205 -59.78946079698631 -52.87438288374547
H02.403.830_sports_medicine.csv H02.403.600_neurology.csv -66.73600341117981 -61.17744802784701 -56.33251250793599 -49.49376156335637 -42.651271709411816
H02.403.830_sports_medicine.csv H02.403.763_reproductive_medicine.csv -80.87962624617856 -76.01931378759315 -71.30952931125867 -64.41272045597623 -57.46558115731863
H02.403.830_sports_medicine.csv H02.403.690_psychiatry.csv -67.67555393204073 -64.33631795847488 -60.3897493544373 -53.63469468012365 -46.67007766932724
H02.403.830_sports_medicine.csv H02.403.429.730_rheumatology.csv -67.03000234184002 -61.984313190442464 -57.17401299544892 -50.36120604230373 -43.513190680871325
H02.403.830_sports_medicine.csv H02.403.740_radiology.csv -66.78625734829681 -60.833363809262536 -55.826934226518254 -49.00292291031121 -42.25761301755199
H02.403.830_sports_medicine.csv H02.403.044.500_immunochemistry.csv -70.33247315429969 -65.35254795920117 -60.639572991812166 -53.865747293186075 -46.99841248939474
H02.403.830_sports_medicine.csv H02.403.429.580_nephrology.csv -67.8159929804661 -62.12990326408799 -56.973690631716124 -50.13434141520987 -43.28625024211804
