Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.879_tropical_medicine.csv H02.403.340_general_practice.csv -70.8648279207335 -68.777139421948 -65.50293430919007 -58.17607883038042 -50.37554492726176
H02.403.879_tropical_medicine.csv H02.403.429.515_medical_oncology.csv -69.09599035202986 -63.04201323224619 -57.9201218479118 -50.429868614048516 -43.094794993186696
H02.403.879_tropical_medicine.csv H02.403.330_forensic_medicine.csv -63.787039598416456 -59.267191164688036 -55.207407097744245 -47.65995631915172 -40.70591393178877
H02.403.879_tropical_medicine.csv H02.403.810.468_ophthalmology.csv -72.0623264896755 -66.54724567607585 -61.66118382417359 -54.184352760383604 -46.65567366637343
H02.403.879_tropical_medicine.csv H02.403.810.788_surgery_plastic.csv -84.52645621362109 -80.05527726801014 -75.76377583545624 -68.12664569320019 -60.504633757262056
H02.403.879_tropical_medicine.csv H02.403.429.480_infectious_disease_medicine.csv -79.0340871344208 -75.61209586474746 -72.54638277104479 -65.4517284732096 -57.953810897309985
H02.403.879_tropical_medicine.csv H02.403.600_neurology.csv -72.19837259847193 -66.46462152264148 -61.7807211950181 -54.30162792295763 -46.791729252467896
H02.403.879_tropical_medicine.csv H02.403.763_reproductive_medicine.csv -86.24624339532829 -82.30751622339967 -78.03575735903081 -70.62124071935735 -63.06314159678022
H02.403.879_tropical_medicine.csv H02.403.690_psychiatry.csv -72.88501631733335 -70.0140751851303 -66.326565935566 -58.91360633061841 -51.23704468131013
H02.403.879_tropical_medicine.csv H02.403.429.730_rheumatology.csv -72.7407200583839 -67.56596063095995 -62.73730405373527 -55.288713273933176 -47.756809774431126
H02.403.879_tropical_medicine.csv H02.403.740_radiology.csv -72.66179388299656 -66.20750116115576 -61.29445033546164 -53.780819040841706 -46.38413158264844
H02.403.879_tropical_medicine.csv H02.403.044.500_immunochemistry.csv -74.39603070691919 -69.9581114195378 -66.04158298607881 -58.90423318733855 -51.46572522378945
H02.403.879_tropical_medicine.csv H02.403.429.580_nephrology.csv -73.6315675273689 -67.4512014546346 -62.529126496577454 -55.02263342839886 -47.49633168615718
