Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.909_venereology.csv H02.403.340_general_practice.csv -74.97234691027417 -72.47360823136395 -71.5486857318657 -64.43278793186987 -55.84570015397399
H02.403.909_venereology.csv H02.403.429.515_medical_oncology.csv -72.61303558120366 -66.56336716911252 -62.74419000991122 -55.37388073066949 -47.572807484687424
H02.403.909_venereology.csv H02.403.330_forensic_medicine.csv -68.11530133618238 -63.33189111780892 -59.681921420858224 -52.28090738786879 -44.90941223479213
H02.403.909_venereology.csv H02.403.810.468_ophthalmology.csv -75.80424120378946 -69.90166913427278 -66.8850826979919 -59.556141333479566 -51.512080664835366
H02.403.909_venereology.csv H02.403.810.788_surgery_plastic.csv -90.07977920877804 -85.41902841105642 -82.44117538594715 -74.98431347604188 -66.91583229268986
H02.403.909_venereology.csv H02.403.429.480_infectious_disease_medicine.csv -82.5471978624836 -78.92540961708156 -78.12387414153974 -71.63906120688513 -63.81964447598192
H02.403.909_venereology.csv H02.403.600_neurology.csv -75.87911500112918 -69.90700309730578 -66.98274854453753 -59.648567509419514 -51.651909440440626
H02.403.909_venereology.csv H02.403.763_reproductive_medicine.csv -91.62417668547056 -87.72334600479145 -84.71967565513636 -77.8203314503483 -69.7646023742874
H02.403.909_venereology.csv H02.403.690_psychiatry.csv -75.65067990143419 -72.78156134817871 -71.69244084953172 -64.87134186636708 -56.67233868264087
H02.403.909_venereology.csv H02.403.429.730_rheumatology.csv -75.33329515408641 -70.33568670002752 -67.92655568985397 -60.78583739151663 -52.80004554917461
H02.403.909_venereology.csv H02.403.740_radiology.csv -77.04664642712757 -70.47550433106845 -66.77192032807767 -59.238825213847086 -51.291585922096296
H02.403.909_venereology.csv H02.403.044.500_immunochemistry.csv -77.19697780755097 -72.72972881001752 -70.82539541636366 -64.18096207736735 -56.47629137057703
H02.403.909_venereology.csv H02.403.429.580_nephrology.csv -76.47870257528925 -71.14196027672564 -67.93896658952622 -60.52573453869824 -52.462430693098426
H02.403.909_venereology.csv H02.403.670.500_perinatology.csv -73.47181150666854 -68.23231075944409 -65.62979603085498 -58.39853382553713 -50.43273209241327
