,label,treeNum,mainSpecialty,level,direct_query,full_query
0,Addiction Medicine,H02.403.007,H02.403.007,0,43,43
1,Adolescent Medicine,H02.403.014,H02.403.014,0,1000,1000
2,Aerospace Medicine,H02.403.029,H02.403.029,0,1000,1000
3,Allergy and Immunology,H02.403.044,H02.403.044,0,1000,1000
4,Immunochemistry,H02.403.044.500,H02.403.044,1,1000,1000
5,Anesthesiology,H02.403.066,H02.403.066,0,1000,1000
6,Bariatric Medicine,H02.403.074,H02.403.074,0,63,63
7,Behavioral Medicine,H02.403.090,H02.403.090,0,1000,1000
8,Clinical Medicine,H02.403.200,H02.403.200,0,1000,1000
9,Evidence-Based Medicine,H02.403.200.400,H02.403.200,1,1000,1000
10,Evidence-Based Emergency Medicine,H02.403.200.400.500,H02.403.200,2,373,373
11,Precision Medicine,H02.403.200.700,H02.403.200,1,1000,1000
12,Community Medicine,H02.403.220,H02.403.220,0,1000,1000
13,Dermatology,H02.403.225,H02.403.225,0,1000,1000
14,Disaster Medicine,H02.403.230,H02.403.230,0,643,643
15,Emergency Medicine,H02.403.250,H02.403.250,0,1000,1000
16,Pediatric Emergency Medicine,H02.403.250.500,H02.403.250,1,171,171
17,Forensic Medicine,H02.403.330,H02.403.330,0,1000,1000
18,Forensic Genetics,H02.403.330.149,H02.403.330,1,1000,1000
19,Forensic Pathology,H02.403.330.300,H02.403.330,1,1000,1000
20,General Practice,H02.403.340,H02.403.340,0,1000,1000
21,Family Practice,H02.403.340.500,H02.403.340,1,1000,1000
22,"Genetics, Medical",H02.403.350,H02.403.350,0,1000,1000
23,"Geography, Medical",H02.403.352,H02.403.352,0,1000,1000
24,"Topography, Medical",H02.403.352.500,H02.403.352,1,1000,1000
25,Geriatrics,H02.403.355,H02.403.355,0,1000,1000
26,Global Health,H02.403.371,H02.403.371,0,1000,1000
27,Hospital Medicine,H02.403.377,H02.403.377,0,129,129
28,Integrative Medicine,H02.403.400,H02.403.400,0,1000,1000
29,Internal Medicine,H02.403.429,H02.403.429,0,1000,1000
30,Cardiology,H02.403.429.163,H02.403.429,1,1000,1000
31,Cardiac Electrophysiology,H02.403.429.163.300,H02.403.429,2,374,374
32,Endocrinology,H02.403.429.323,H02.403.429,1,1000,1000
33,Gastroenterology,H02.403.429.405,H02.403.429,1,1000,1000
34,Hematology,H02.403.429.445,H02.403.429,1,1000,1000
35,Transfusion Medicine,H02.403.429.445.500,H02.403.429,2,174,174
36,Infectious Disease Medicine,H02.403.429.480,H02.403.429,1,438,438
37,Medical Oncology,H02.403.429.515,H02.403.429,1,1000,1000
38,Psycho-Oncology,H02.403.429.515.250,H02.403.429,2,41,41
39,Radiation Oncology,H02.403.429.515.500,H02.403.429,2,1000,1000
40,Surgical Oncology,H02.403.429.515.750,H02.403.429,2,239,239
41,Nephrology,H02.403.429.580,H02.403.429,1,1000,1000
42,Pulmonary Medicine,H02.403.429.675,H02.403.429,1,1000,1000
43,Rheumatology,H02.403.429.730,H02.403.429,1,1000,1000
44,Sleep Medicine Specialty,H02.403.429.865,H02.403.429,1,283,283
45,Military Medicine,H02.403.500,H02.403.500,0,1000,1000
46,Molecular Medicine,H02.403.530,H02.403.530,0,1000,1000
47,Naval Medicine,H02.403.560,H02.403.560,0,1000,1000
48,Submarine Medicine,H02.403.560.508,H02.403.560,1,508,508
49,Neurology,H02.403.600,H02.403.600,0,1000,1000
50,Neuropathology,H02.403.600.250,H02.403.600,1,164,164
51,Neurotology,H02.403.600.500,H02.403.600,1,63,63
52,Osteopathic Medicine,H02.403.640,H02.403.640,0,1000,1000
53,Palliative Medicine,H02.403.645,H02.403.645,0,227,227
54,Pathology,H02.403.650,H02.403.650,0,1000,1000
55,Forensic Pathology,H02.403.650.249,H02.403.650,1,1000,1000
56,Neuropathology,H02.403.650.375,H02.403.650,1,164,164
57,"Pathology, Clinical",H02.403.650.500,H02.403.650,1,1000,1000
58,"Pathology, Molecular",H02.403.650.505,H02.403.650,1,1000,1000
59,"Pathology, Surgical",H02.403.650.510,H02.403.650,1,1000,1000
60,Telepathology,H02.403.650.600,H02.403.650,1,723,723
61,Pediatrics,H02.403.670,H02.403.670,0,1000,1000
62,Neonatology,H02.403.670.400,H02.403.670,1,1000,1000
63,Pediatric Emergency Medicine,H02.403.670.450,H02.403.670,1,171,171
64,Perinatology,H02.403.670.500,H02.403.670,1,1000,1000
65,Physical and Rehabilitation Medicine,H02.403.680,H02.403.680,0,1000,1000
66,Rehabilitation,H02.403.680.600,H02.403.680,1,1000,1000
