,label,treeNum,mainSpecialty,level,direct_query,full_query
0,Addiction Medicine,H02.403.007,H02.403.007,0,0,0
1,Adolescent Medicine,H02.403.014,H02.403.014,0,24,24
2,Aerospace Medicine,H02.403.029,H02.403.029,0,50,50
3,Allergy and Immunology,H02.403.044,H02.403.044,0,242,707
4,Immunochemistry,H02.403.044.500,H02.403.044,1,498,498
5,Anesthesiology,H02.403.066,H02.403.066,0,736,736
6,Bariatric Medicine,H02.403.074,H02.403.074,0,0,0
7,Behavioral Medicine,H02.403.090,H02.403.090,0,4,4
8,Clinical Medicine,H02.403.200,H02.403.200,0,1000,1000
9,Evidence-Based Medicine,H02.403.200.400,H02.403.200,1,705,705
10,Evidence-Based Emergency Medicine,H02.403.200.400.500,H02.403.200,2,0,0
11,Precision Medicine,H02.403.200.700,H02.403.200,1,113,113
12,Community Medicine,H02.403.220,H02.403.220,0,209,209
13,Dermatology,H02.403.225,H02.403.225,0,583,583
14,Disaster Medicine,H02.403.230,H02.403.230,0,5,5
15,Emergency Medicine,H02.403.250,H02.403.250,0,71,71
16,Pediatric Emergency Medicine,H02.403.250.500,H02.403.250,1,2,2
17,Forensic Medicine,H02.403.330,H02.403.330,0,1000,1000
18,Forensic Genetics,H02.403.330.149,H02.403.330,1,8,8
19,Forensic Pathology,H02.403.330.300,H02.403.330,1,5,5
20,General Practice,H02.403.340,H02.403.340,0,1000,1000
21,Family Practice,H02.403.340.500,H02.403.340,1,1000,1000
22,"Genetics, Medical",H02.403.350,H02.403.350,0,497,497
23,"Geography, Medical",H02.403.352,H02.403.352,0,56,56
24,"Topography, Medical",H02.403.352.500,H02.403.352,1,13,13
25,Geriatrics,H02.403.355,H02.403.355,0,687,687
26,Global Health,H02.403.371,H02.403.371,0,728,728
27,Hospital Medicine,H02.403.377,H02.403.377,0,3,3
28,Integrative Medicine,H02.403.400,H02.403.400,0,6,6
29,Internal Medicine,H02.403.429,H02.403.429,0,1000,1000
30,Cardiology,H02.403.429.163,H02.403.429,1,684,684
31,Cardiac Electrophysiology,H02.403.429.163.300,H02.403.429,2,2,2
32,Endocrinology,H02.403.429.323,H02.403.429,1,196,196
33,Gastroenterology,H02.403.429.405,H02.403.429,1,541,541
34,Hematology,H02.403.429.445,H02.403.429,1,167,167
35,Transfusion Medicine,H02.403.429.445.500,H02.403.429,2,0,0
36,Infectious Disease Medicine,H02.403.429.480,H02.403.429,1,33,33
37,Medical Oncology,H02.403.429.515,H02.403.429,1,139,139
38,Psycho-Oncology,H02.403.429.515.250,H02.403.429,2,0,0
39,Radiation Oncology,H02.403.429.515.500,H02.403.429,2,9,9
40,Surgical Oncology,H02.403.429.515.750,H02.403.429,2,1,1
41,Nephrology,H02.403.429.580,H02.403.429,1,197,197
42,Pulmonary Medicine,H02.403.429.675,H02.403.429,1,255,255
43,Rheumatology,H02.403.429.730,H02.403.429,1,120,120
44,Sleep Medicine Specialty,H02.403.429.865,H02.403.429,1,1,1
45,Military Medicine,H02.403.500,H02.403.500,0,259,259
46,Molecular Medicine,H02.403.530,H02.403.530,0,40,40
47,Naval Medicine,H02.403.560,H02.403.560,0,100,100
