,descriptor,label,treeNum,medicineTreeNum,labelSpa
0,D003880,Dermatology,H02.403.225,H02.403,Dermatología
1,D004813,Epidemiology,H02.403.720.500,H02.403,Epidemiología
2,D011315,Preventive Medicine,H02.403.720.750,H02.403,Medicina Preventiva
3,D019317,Evidence-Based Medicine,H02.403.200.400,H02.403,Medicina Basada en la Evidencia
4,D000066530,Neurological Rehabilitation,H02.403.680.600.750,H02.403,Rehabilitación Neurológica
5,D000067250,Psychiatric Rehabilitation,H02.403.680.600.875,H02.403,Rehabilitación Psiquiátrica
6,D000068936,Theranostic Nanomedicine,H02.403.845,H02.403,Nanomedicina Teranóstica
7,D000069338,Neuropathology,H02.403.600.250,H02.403,Neuropatología
8,D000069338,Neuropathology,H02.403.650.375,H02.403,Neuropatología
9,D000069350,Telerehabilitation,H02.403.680.600.937,H02.403,Telerrehabilitación
10,D000069350,Telerehabilitation,H02.403.840.850,H02.403,Telerrehabilitación
11,D000070316,Pediatric Emergency Medicine,H02.403.250.500,H02.403,Medicina de Urgencia Pediátrica
12,D000070316,Pediatric Emergency Medicine,H02.403.670.450,H02.403,Medicina de Urgencia Pediátrica
13,D000071077,Surgical Oncology,H02.403.429.515.750,H02.403,Oncología Quirúrgica
14,D000071077,Surgical Oncology,H02.403.810.796,H02.403,Oncología Quirúrgica
15,D000295,Adolescent Medicine,H02.403.014,H02.403,Medicina del Adolescente
16,D004635,Emergency Medicine,H02.403.250,H02.403,Medicina de Emergencia
17,D008495,Medical Oncology,H02.403.429.515,H02.403,Oncología Médica
18,D009462,Neurology,H02.403.600,H02.403,Neurología
19,D009683,Nuclear Medicine,H02.403.740.500,H02.403,Medicina Nuclear
20,D010336,Pathology,H02.403.650,H02.403,Patología
21,D010372,Pediatrics,H02.403.670,H02.403,Pediatría
22,D011634,Public Health,H02.403.720,H02.403,Salud Pública
23,D012046,Rehabilitation,H02.403.680.600,H02.403,Rehabilitación
24,D013043,"Specialties, Surgical",H02.403.810,H02.403,Especialidades Quirúrgicas
25,D013178,Sports Medicine,H02.403.830,H02.403,Medicina Deportiva
26,D017216,Telemedicine,H02.403.840,H02.403,Telemedicina
27,D019550,Environmental Medicine,H02.403.720.750.250,H02.403,Medicina Ambiental
28,D002665,Child Psychiatry,H02.403.690.130,H02.403,Psiquiatría Infantil
